pin,symbol,source,status,note
1,LCD_RST,CWS05 v1.0 P5/P8,文件中已列出，待与实物核对,数字接口按 1.8V 设计域评估；本表不是已完成连接的生产网表。
2,GND,CWS05 v1.0 P5/P8,文件中已列出，待与实物核对,地。
3,LCD_TE,CWS05 v1.0 P5/P8,文件中已列出，待与实物核对,数字接口按 1.8V 设计域评估；本表不是已完成连接的生产网表。
4,LCD_CS,CWS05 v1.0 P5/P8,文件中已列出，待与实物核对,数字接口按 1.8V 设计域评估；本表不是已完成连接的生产网表。
5,LCD_CLK,CWS05 v1.0 P5/P8,文件中已列出，待与实物核对,数字接口按 1.8V 设计域评估；本表不是已完成连接的生产网表。
6,LCD_SIO1,CWS05 v1.0 P5/P8,文件中已列出，待与实物核对,数字接口按 1.8V 设计域评估；本表不是已完成连接的生产网表。
7,LCD_SIO0,CWS05 v1.0 P5/P8,文件中已列出，待与实物核对,数字接口按 1.8V 设计域评估；本表不是已完成连接的生产网表。
8,ID,CWS05 v1.0 P5/P8,需确认,P8 名称为 ID，P5 图示说明不清晰；需确认悬空/上下拉要求。
9,IM1_NC,CWS05 v1.0 P5/P8,文件中已列出，待与实物核对,数字接口按 1.8V 设计域评估；本表不是已完成连接的生产网表。
10,IM0_NC,CWS05 v1.0 P5/P8,需确认,P5 带 MTP 字样，P8 为 NC；按供应商最终接口定义确认，不作编程引脚使用。
11,VBAT,CWS05 v1.0 P5/P8,需确认,P8 标注 PMIC 电源 3.7V；实际 VBAT 允许范围及满充 4.2V 适用性待确认。
12,VBAT,CWS05 v1.0 P5/P8,需确认,P8 标注 PMIC 电源 3.7V；不可沿用原转接板的 +5V。
13,GND,CWS05 v1.0 P5/P8,文件中已列出，待与实物核对,地。
14,GND,CWS05 v1.0 P5/P8,文件中已列出，待与实物核对,地。
15,VDD,CWS05 v1.0 P5/P8,需确认,P5 图示标注 IO 电平 1.8V；P6 VDDIO 正常 1.7~1.9V，需确认该脚与内部供电关系。
16,TP_VDD,CWS05 v1.0 P5/P8,需确认,P8 标 TP_VDD，P5 标 VDD；确认触摸供电及内部连接，不能仅按 CST820 芯片范围定模组电压。
17,TP_INT,CWS05 v1.0 P5/P8,文件中已列出，待与实物核对,数字接口按 1.8V 设计域评估；本表不是已完成连接的生产网表。
18,TP_RST,CWS05 v1.0 P5/P8,需确认,P8 引脚表漏列；P5 机械图明确标 TP_RST，需在最终供应商针表中补齐。
19,TP_SDA,CWS05 v1.0 P5/P8,文件中已列出，待与实物核对,数字接口按 1.8V 设计域评估；本表不是已完成连接的生产网表。
20,TP_SCL,CWS05 v1.0 P5/P8,文件中已列出，待与实物核对,数字接口按 1.8V 设计域评估；本表不是已完成连接的生产网表。
21,GND,CWS05 v1.0 P5/P8,文件中已列出，待与实物核对,地。
22,LCD_SIO3,CWS05 v1.0 P5/P8,文件中已列出，待与实物核对,数字接口按 1.8V 设计域评估；本表不是已完成连接的生产网表。
23,LCD_SIO2,CWS05 v1.0 P5/P8,文件中已列出，待与实物核对,数字接口按 1.8V 设计域评估；本表不是已完成连接的生产网表。
24,VCI_EN,CWS05 v1.0 P5/P8,需确认,名称 VCI_EN 与 P8 描述模拟电源不一致；须确认其为使能输入或电源输入、有效电平及时序。
