ref,pin,pin_name,net,sheet,type
U1,1,VDDIOB,+1V8,1,Power
U1,13,VDD_1V8,+1V8,1,Power
U1,15,VDDIOA,VIOA,1,Power
U1,16,VDD_3V3,+3V3,1,Power
U1,45,VDDIOA2,+1V8,1,Power
U1,11,BOOT_MODE,BOOT_MODE,1,Bidirectional
U1,12,RSTN,RESET_N,1,Bidirectional
U1,2,PB36,UART4_RX_1V8,1,Bidirectional
U1,3,PB37,UART4_TX_1V8,1,Bidirectional
U1,4,PB54,HOME_N,1,Bidirectional
U1,63,PB11,SWDIO_1V8,1,Bidirectional
U1,64,PB07,SWCLK_1V8,1,Bidirectional
U1,14,GND,GND,1,Ground
U1,46,GND,GND,1,Ground
U1,65,GND,GND,1,Ground
U1,71,GND,GND,1,Ground
U1,133,GND,GND,1,Ground
U1,134,GND,GND,1,Ground
U1,135,GND,GND,1,Ground
U1,136,GND,GND,1,Ground
U1,137,GND,GND,1,Ground
U1,138,GND,GND,1,Ground
C101,1,,+1V8,1,Passive
C101,2,,GND,1,Passive
C102,1,,+1V8,1,Passive
C102,2,,GND,1,Passive
C103,1,,+3V3,1,Passive
C103,2,,GND,1,Passive
C104,1,,+3V3,1,Passive
C104,2,,GND,1,Passive
C105,1,,VIOA,1,Passive
C105,2,,GND,1,Passive
R101,1,,+1V8,1,Passive
R101,2,,RESET_N,1,Passive
C106,1,,RESET_N,1,Passive
C106,2,,GND,1,Passive
SW101,1,,RESET_N,1,Passive
SW101,2,,GND,1,Passive
R102,1,,BOOT_MODE,1,Passive
R102,2,,GND,1,Passive
SW102,1,,VIOA,1,Passive
SW102,2,,BOOT_MODE,1,Passive
R103,1,,+3V3,1,Passive
R103,2,,VIOA,1,Passive
R104,1,,+1V8,1,Passive
R104,2,,VIOA,1,Passive
J101,1,VTREF_1V8,+1V8,1,Passive
J101,2,GND,GND,1,Passive
J101,3,SWDIO,SWDIO_1V8,1,Passive
J101,4,SWCLK,SWCLK_1V8,1,Passive
J101,5,RESET_N,RESET_N,1,Passive
J101,6,MCU_TX,UART4_TX_1V8,1,Passive
J101,7,MCU_RX,UART4_RX_1V8,1,Passive
J201,A4,VBUS,USB_VBUS_RAW,2,Power
J201,A9,VBUS,USB_VBUS_RAW,2,Power
J201,B4,VBUS,USB_VBUS_RAW,2,Power
J201,B9,VBUS,USB_VBUS_RAW,2,Power
J201,A5,CC1,CC1,2,Input
J201,B5,CC2,CC2,2,Input
J201,A1,GND,GND,2,Ground
J201,A12,GND,GND,2,Ground
J201,B1,GND,GND,2,Ground
J201,B12,GND,GND,2,Ground
J201,S1,SHIELD,GND,2,Ground
R201,1,,CC1,2,Passive
R201,2,,GND,2,Passive
R202,1,,CC2,2,Passive
R202,2,,GND,2,Passive
F201,1,,USB_VBUS_RAW,2,Passive
F201,2,,USB_5V,2,Passive
U201,13,IN,USB_5V,2,Power
U201,4,CE_N,GND,2,Input
U201,5,EN2,GND,2,Input
U201,6,EN1,USB_5V,2,Input
U201,12,ILIM,CHG_ILIM,2,Input
U201,16,ISET,CHG_ISET,2,Input
U201,1,TS,BAT_NTC,2,Input
U201,14,TMR,,2,Input
U201,15,ITERM,,2,Input
U201,2,BAT,VBAT,2,Power
U201,3,BAT,VBAT,2,Power
U201,10,OUT,VSYS,2,Power
U201,11,OUT,VSYS,2,Power
U201,7,PGOOD_N,PGOOD_N,2,Open Drain
U201,9,CHG_N,CHG_N,2,Open Drain
U201,8,VSS,GND,2,Ground
U201,17,EP,GND,2,Ground
R203,1,,CHG_ISET,2,Passive
R203,2,,GND,2,Passive
R204,1,,CHG_ILIM,2,Passive
R204,2,,GND,2,Passive
R205,1,,+1V8,2,Passive
R205,2,,PGOOD_N,2,Passive
R206,1,,+1V8,2,Passive
R206,2,,CHG_N,2,Passive
