ref,part,device,value,sheet,package,footprint,source,note
U1,A_PMU,SF32LB586VDD36,SF32LB586VDD36,1,BGA256 8.5x6.5mm P0.4mm,,https://wiki.sifli.com/en/hardware/SF32LB58x-HW-Application.html,"Bare SF32LB586VDD36, not SF32LB58-MOD. All units share this physical IC."
L101,L,L 4.7uH DCR<=0.4R Isat>=0.5A,4.7uH DCR<=0.4R Isat>=0.5A,1,2016 metric; reference WPN201610U4R7MT,,,Internal PMU buck loop; follow SiFli placement and return-current guidance
C101,C,C 4.7uF/10V,4.7uF/10V,1,0603,51dbad8f50a9484aa62d5f6da682dfcd,,
C102,C,C 100nF/10V,100nF/10V,1,0402,c229098197984ccd99912a2643d8918a,,
L102,L,L 4.7uH DCR<=0.4R Isat>=0.5A,4.7uH DCR<=0.4R Isat>=0.5A,1,2016 metric; reference WPN201610U4R7MT,,,Internal PMU buck loop; follow SiFli placement and return-current guidance
C103,C,C 4.7uF/10V,4.7uF/10V,1,0603,51dbad8f50a9484aa62d5f6da682dfcd,,
C104,C,C 100nF/10V,100nF/10V,1,0402,c229098197984ccd99912a2643d8918a,,
C105,C,C 4.7uF/10V,4.7uF/10V,1,0603,51dbad8f50a9484aa62d5f6da682dfcd,,
C106,C,C 470nF/10V,470nF/10V,1,0402,c229098197984ccd99912a2643d8918a,,
C107,C,C 100nF/10V,100nF/10V,1,0402,c229098197984ccd99912a2643d8918a,,
C108,C,C 10uF/10V,10uF/10V,1,0603,51dbad8f50a9484aa62d5f6da682dfcd,,Place at U1.B2 PVDD input
C109,C,C 100nF/10V,100nF/10V,1,0402,c229098197984ccd99912a2643d8918a,,Place at U1.B2 PVDD input
C110,C,C 10uF/10V,10uF/10V,1,0603,51dbad8f50a9484aa62d5f6da682dfcd,,Place at U1.B3 PVDD input
C111,C,C 100nF/10V,100nF/10V,1,0402,c229098197984ccd99912a2643d8918a,,Place at U1.B3 PVDD input
C120,C,C 1uF/10V,1uF/10V,2,0603,51dbad8f50a9484aa62d5f6da682dfcd,,Local bypass for U1.E20
C121,C,C 1uF/10V,1uF/10V,2,0603,51dbad8f50a9484aa62d5f6da682dfcd,,Local bypass for U1.K18
C122,C,C 4.7uF/10V,4.7uF/10V,2,0603,51dbad8f50a9484aa62d5f6da682dfcd,,Local bypass for U1.J18
C123,C,C 1uF/10V,1uF/10V,2,0603,51dbad8f50a9484aa62d5f6da682dfcd,,Local bypass for U1.P5
C124,C,C 4.7uF/10V,4.7uF/10V,2,0603,51dbad8f50a9484aa62d5f6da682dfcd,,Local bypass for U1.P3
C125,C,C 1uF/10V,1uF/10V,2,0603,51dbad8f50a9484aa62d5f6da682dfcd,,Local bypass for U1.H6
C126,C,C 1uF/10V,1uF/10V,2,0603,51dbad8f50a9484aa62d5f6da682dfcd,,Local bypass for U1.P12
C127,C,C 1uF/10V,1uF/10V,2,0603,51dbad8f50a9484aa62d5f6da682dfcd,,Local bypass for U1.E17
C128,C,C 1uF/10V,1uF/10V,2,0603,51dbad8f50a9484aa62d5f6da682dfcd,,Local bypass for U1.M2
C129,C,C 1uF/10V,1uF/10V,2,0603,51dbad8f50a9484aa62d5f6da682dfcd,,Local bypass for U1.G1
C130,C,C 1uF/10V,1uF/10V,2,0603,51dbad8f50a9484aa62d5f6da682dfcd,,Local bypass for U1.L14
C131,C,C 1uF/10V,1uF/10V,2,0603,51dbad8f50a9484aa62d5f6da682dfcd,,Local bypass for U1.F20
C132,C,C 1uF/10V,1uF/10V,2,0603,51dbad8f50a9484aa62d5f6da682dfcd,,Local bypass for U1.F21
C133,C,C 4.7uF/10V,4.7uF/10V,2,0603,51dbad8f50a9484aa62d5f6da682dfcd,,Local bypass for U1.L21
C134,C,C 4.7uF/10V,4.7uF/10V,2,0603,51dbad8f50a9484aa62d5f6da682dfcd,,Local bypass for U1.K19
R103,R,R 0R VIOA=3V3,0R VIOA=3V3,2,0402,e3f3bece9e6c4c37a159570def6f46e2,,
