ref,part,device,value,sheet,package,footprint,source,note,assembly,mpn
U1,A_PMU,SF32LB586VDD36,SF32LB586VDD36,1,BGA_256_P040_8500X6500_H094_B025,2784fe407fee53c4a573edb8d45cb827,https://wiki.sifli.com/en/hardware/SF32LB58x-HW-Application.html,"Bare SF32LB586VDD36, not SF32LB58-MOD. All units share this physical IC.",FIT,SF32LB586VDD36
L101,L,L 4.7uH DCR<=0.4R Isat>=0.5A,4.7uH DCR<=0.4R Isat>=0.5A,1,IND_C_2016_H100,74431ee6940257428bcaf2cc1b0fde3a,,Internal PMU buck loop; follow SiFli placement and return-current guidance,FIT,WPN201610U4R7MT
C101,C,C 4.7uF/10V,4.7uF/10V,1,SC0603-S,51dbad8f50a9484aa62d5f6da682dfcd,,,FIT,C 4.7uF/10V
C102,C,C 100nF/10V,100nF/10V,1,SC0402,c229098197984ccd99912a2643d8918a,,,FIT,C 100nF/10V
L102,L,L 4.7uH DCR<=0.4R Isat>=0.5A,4.7uH DCR<=0.4R Isat>=0.5A,1,IND_C_2016_H100,74431ee6940257428bcaf2cc1b0fde3a,,Internal PMU buck loop; follow SiFli placement and return-current guidance,FIT,WPN201610U4R7MT
C103,C,C 4.7uF/10V,4.7uF/10V,1,SC0603-S,51dbad8f50a9484aa62d5f6da682dfcd,,,FIT,C 4.7uF/10V
C104,C,C 100nF/10V,100nF/10V,1,SC0402,c229098197984ccd99912a2643d8918a,,,FIT,C 100nF/10V
C105,C,C 4.7uF/10V,4.7uF/10V,1,SC0603-S,51dbad8f50a9484aa62d5f6da682dfcd,,,FIT,C 4.7uF/10V
C106,C,C 470nF/10V,470nF/10V,1,SC0402,c229098197984ccd99912a2643d8918a,,,FIT,C 470nF/10V
C107,C,C 100nF/10V,100nF/10V,1,SC0402,c229098197984ccd99912a2643d8918a,,,FIT,C 100nF/10V
C108,C,C 10uF/10V,10uF/10V,1,SC0603-S,51dbad8f50a9484aa62d5f6da682dfcd,,Place at U1.B2 PVDD input,FIT,C 10uF/10V
C109,C,C 100nF/10V,100nF/10V,1,SC0402,c229098197984ccd99912a2643d8918a,,Place at U1.B2 PVDD input,FIT,C 100nF/10V
C110,C,C 10uF/10V,10uF/10V,1,SC0603-S,51dbad8f50a9484aa62d5f6da682dfcd,,Place at U1.B3 PVDD input,FIT,C 10uF/10V
C111,C,C 100nF/10V,100nF/10V,1,SC0402,c229098197984ccd99912a2643d8918a,,Place at U1.B3 PVDD input,FIT,C 100nF/10V
C120,C,C 1uF/10V,1uF/10V,2,SC0603-S,51dbad8f50a9484aa62d5f6da682dfcd,,Local bypass for U1.E20,FIT,C 1uF/10V
C121,C,C 1uF/10V,1uF/10V,2,SC0603-S,51dbad8f50a9484aa62d5f6da682dfcd,,Local bypass for U1.K18,FIT,C 1uF/10V
C122,C,C 4.7uF/10V,4.7uF/10V,2,SC0603-S,51dbad8f50a9484aa62d5f6da682dfcd,,Local bypass for U1.J18,FIT,C 4.7uF/10V
C123,C,C 1uF/10V,1uF/10V,2,SC0603-S,51dbad8f50a9484aa62d5f6da682dfcd,,Local bypass for U1.P5,FIT,C 1uF/10V
C124,C,C 4.7uF/10V,4.7uF/10V,2,SC0603-S,51dbad8f50a9484aa62d5f6da682dfcd,,Local bypass for U1.P3,FIT,C 4.7uF/10V
C125,C,C 1uF/10V,1uF/10V,2,SC0603-S,51dbad8f50a9484aa62d5f6da682dfcd,,Local bypass for U1.H6,FIT,C 1uF/10V
C126,C,C 1uF/10V,1uF/10V,2,SC0603-S,51dbad8f50a9484aa62d5f6da682dfcd,,Local bypass for U1.P12,FIT,C 1uF/10V
