ball,original_sifli_pin_name,schematic_short_name,net,unit
B2,PVDD_PMU1,PVDD_PMU1,+1V8,A_PMU
B3,PVDD_PMU2,PVDD_PMU2,+1V8,A_PMU
C1,PMU_BUCK1_VSW,PMU_BUCK1_VSW,CORE_BUCK1_SW,A_PMU
D1,PMU_BUCK1_VOUT,PMU_BUCK1_VOUT,CORE_BUCK1_FB,A_PMU
A2,PMU_BUCK2_VSW,PMU_BUCK2_VSW,CORE_BUCK2_SW,A_PMU
B1,PMU_BUCK2_VOUT,PMU_BUCK2_VOUT,CORE_BUCK2_FB,A_PMU
D2,HPSYS_LDO_VOUT,HPSYS_LDO_VOUT,CORE_LDO_HP,A_PMU
C4,LPMU_VDD07_RET,LPMU_VDD07_RET,CORE_LDO_RET,A_PMU
C5,LPMU_VDD11_RTC,LPMU_VDD11_RTC,CORE_LDO_RTC,A_PMU
B4,VDD_EXT1,VDD_EXT1,,A_PMU
B5,VDD_EXT2,VDD_EXT2,,A_PMU
E20,AVDD_BRF,AVDD_BRF,+1V8,B_RAILS
K18,AVDD33_ANA,AVDD33_ANA,+3V3,B_RAILS
J18,AVDD33_AUD,AVDD33_AUD,+3V3,B_RAILS
P5,AVDD33_USB,AVDD33_USB,+3V3,B_RAILS
P3,AVDD18_DSI,AVDD18_DSI,+1V8,B_RAILS
H6,VDDIOA,VDDIOA,VIOA,B_RAILS
P12,VDDIOA2,VDDIOA2,+1V8,B_RAILS
E17,VDDIOB,VDDIOB,+1V8,B_RAILS
M2,VDDIOSA,VDDIOSA,VDD_SIP,B_RAILS
G1,VDDIOSB,VDDIOSB,VDD_SIP,B_RAILS
L14,VDDIOSC,VDDIOSC,+1V8,B_RAILS
F20,MIC_BIAS,MIC_BIAS,CORE_MIC_BIAS,B_RAILS
F21,AUD_VREF,AUD_VREF,CORE_AUD_VREF,B_RAILS
L21,GPADC_VREFP,GPADC_VREFP,CORE_ADC_VREF,B_RAILS
K19,SDMADC_VREF,SDMADC_VREF,CORE_SDM_VREF,B_RAILS
B7,XTAL32K_XI,XTAL32K_XI,CORE_X32_IN,C_CLOCK_DEBUG
A6,XTAL32K_XO,XTAL32K_XO,CORE_X32_OUT,C_CLOCK_DEBUG
A17,XTAL48M_XI,XTAL48M_XI,CORE_X48_IN,C_CLOCK_DEBUG
A18,XTAL48M_XO,XTAL48M_XO,CORE_X48_OUT,C_CLOCK_DEBUG
D4,RSTN,RSTN,RESET_N,C_CLOCK_DEBUG
E6,BOOT_MODE,BOOT_MODE,BOOT_MODE,C_CLOCK_DEBUG
G16,UART4_RX/GPTIM3_CH1/GPADC_CH4/PB36,PB36,UART4_RX_1V8,C_CLOCK_DEBUG
F16,UART4_TX/GPTIM3_CH2/GPADC_CH5/PB37,PB37,UART4_TX_1V8,C_CLOCK_DEBUG
L15,UART4_RX/GPTIM4_CH4/PB7/SWCLK,PB07,SWCLK_1V8,C_CLOCK_DEBUG
M16,UART4_TX/GPTIM5_CH4/PB11/SWDIO,PB11,SWDIO_1V8,C_CLOCK_DEBUG
C14,WKUP_0/LONGTIME_PRESS_RST/PB54,PB54,HOME_N,C_CLOCK_DEBUG
A15,PBR0,PBR0,SIP_PWR_EN,D_MEMORY
A9,PA74/WLAN_ACTIVE/UART1_CTS/LCDC1_SPI_RST,PA74,FLASH_PWR_EN,D_MEMORY
M5,PA30/SPI2_CS/SD1_D1/MPI4_CS,PA30,FLASH_CS_N,D_MEMORY
N1,PA36/SD1_D2/MPI4_D2,PA36,FLASH_D2,D_MEMORY
L5,PA37/SPI2_DO/SD1_D5/MPI4_D1/SPI2_DIO,PA37,FLASH_D1,D_MEMORY
K5,PA38/SD1_D4/MPI4_D3,PA38,FLASH_D3,D_MEMORY
M1,PA39/SPI2_CLK/SD1_CLK/MPI4_CLK,PA39,FLASH_CLK,D_MEMORY
K4,PA40/SPI2_DI/SD1_D3/MPI4_D0,PA40,FLASH_D0,D_MEMORY
J6,PA43/LCDC1_SPI_TE,PA43,LCD_TE,B_DISPLAY
E14,PA93/I2C3_SDA/UART3_TX/UART3_RTS,PA93,TP_RST,B_DISPLAY
F15,PA92/I2C3_SCL/UART3_RX/UART3_CTS,PA92,TP_INT,B_DISPLAY
D12,PA91/I2S2_BCK/GPTIM1_ETR/LCDC1_SPI_D0,PA91,LCD_D0,B_DISPLAY
E13,PA90/I2S2_MCLK/GPTIM1_CH4/LCDC1_SPI_CLK,PA90,LCD_CLK,B_DISPLAY
G14,PA88/LCDC1_SPI_CS,PA88,LCD_CS,B_DISPLAY
F13,PA86/I2S2_DI/GPTIM1_CH3/LCDC1_SPI_D3,PA86,LCD_D3,B_DISPLAY
E12,PA84/I2S2_LRCK/GPTIM1_CH2/LCDC1_SPI_D2,PA84,LCD_D2,B_DISPLAY
F12,PA82/I2S2_DO/GPTIM1_CH1/LCDC1_SPI_D1,PA82,LCD_D1,B_DISPLAY
F6,SWDIO/GPTIM1_CH3/PA52,PA52,LCD_BL,B_DISPLAY
G6,SWCLK/GPTIM1_CH2/PA51,PA51,LCD_RST,B_DISPLAY
N6,PA29/UART2_RX/SPI1_CS/I2C2_SDA,PA29,TP_SDA,B_DISPLAY
M6,PA28/UART2_TX/SPI1_CLK/I2C2_SCL,PA28,TP_SCL,B_DISPLAY
R21,I2C6_SCL/UART6_RX/PB28,PB28,SENS_SCL,C_SENSORS
T20,I2C6_SDA/UART6_TX/PB29,PB29,SENS_SDA,C_SENSORS
R18,UART5_CTS/SPI3_DO/GPTIM4_CH2/PB23,PB23,PPG_MFIO,C_SENSORS
R19,UART5_RTS/SPI3_CS/GPTIM5_CH1/PB26,PB26,PPG_RST_N,C_SENSORS
P19,I2S3_DO/GPTIM4_CH3/PB24,PB24,IMU_INT1,C_SENSORS
R20,SPI4_CLK/I2S3_DI/GPTIM5_CH2/PB27,PB27,IMU_INT2,C_SENSORS
P21,SPI4_DI/I2S3_LRCK/AU_CKO/GPTIM5_CH4/PB31,PB31,HAPTIC_EN,C_SENSORS
P20,SPI4_DO/I2S3_BCK/GPTIM5_CH3/PB30,PB30,BOOST5_EN,C_SENSORS
N20,SPI4_CS/I2S3_MCLK/GPADC_CH2/PB34,PB34,CHG_N,C_SENSORS
M18,UART6_RTS/GPTIM3_CH4/GPADC_CH7/PB39,PB39,PGOOD_N,C_SENSORS
K17,UART6_CTS/GPTIM3_CH3/GPADC_CH6/PB38,PB38,VBAT_ADC,C_SENSORS
B16,I2C5_SDA/UART6_RX/GPTIM5_CH2/PB47,PB47,CROWN_A,C_SENSORS
C17,I2C5_SCL/UART6_TX/GPTIM5_CH3/PB48,PB48,CROWN_B,C_SENSORS
D18,TWI_DAT/UART4&5_CTS/PB51,PB51,CROWN_SW_N,C_SENSORS
D17,TWI_CLK/UART4&5_RTS/PB52,PB52,SIDE_SW_N,C_SENSORS
C2,PVSS_PMU1,PVSS_PMU1,GND,G_GROUND
C3,PVSS_PMU2,PVSS_PMU2,GND,G_GROUND
A3,VSS,VSS,GND,G_GROUND
A4,VSS,VSS,GND,G_GROUND
B20,AVSS_RRF,AVSS_RRF,GND,G_GROUND
B21,AVSS_RRF,AVSS_RRF,GND,G_GROUND
D20,AVSS_TRF,AVSS_TRF,GND,G_GROUND
D21,AVSS_TRF,AVSS_TRF,GND,G_GROUND
C20,AVSS_VCO,AVSS_VCO,GND,G_GROUND
E21,AVSS_TRF2,AVSS_TRF2,GND,G_GROUND
L20,GPADC_VREFN,GPADC_VREFN,GND,G_GROUND
K20,SDMADC_VSS_VREF,SDMADC_VSS_VREF,GND,G_GROUND
B18,AVSS_BB,AVSS_BB,GND,G_GROUND
B17,AVSS_CAU,AVSS_CAU,GND,G_GROUND
P2,AVSS_DSI,AVSS_DSI,GND,G_GROUND
J17,AVSS33_ANA,AVSS33_ANA,GND,G_GROUND
G20,AVSS33_AUD,AVSS33_AUD,GND,G_GROUND
H19,AUD_VREF_GND,AUD_VREF_GND,GND,G_GROUND
A1,VSS,VSS,GND,G_GROUND
A21,VSS,VSS,GND,G_GROUND
B6,VSS,VSS,GND,G_GROUND
E19,VSS,VSS,GND,G_GROUND
G3,VSS,VSS,GND,G_GROUND
G8,VSS,VSS,GND,G_GROUND
G17,VSS,VSS,GND,G_GROUND
H8,VSS,VSS,GND,G_GROUND
H9,VSS,VSS,GND,G_GROUND
H10,VSS,VSS,GND,G_GROUND
H11,VSS,VSS,GND,G_GROUND
H12,VSS,VSS,GND,G_GROUND
H13,VSS,VSS,GND,G_GROUND
H14,VSS,VSS,GND,G_GROUND
J8,VSS,VSS,GND,G_GROUND
J9,VSS,VSS,GND,G_GROUND
J10,VSS,VSS,GND,G_GROUND
J11,VSS,VSS,GND,G_GROUND
J12,VSS,VSS,GND,G_GROUND
J13,VSS,VSS,GND,G_GROUND
J14,VSS,VSS,GND,G_GROUND
N2,VSS,VSS,GND,G_GROUND
R5,VSS,VSS,GND,G_GROUND
R7,VSS,VSS,GND,G_GROUND
T1,AVSS_DSI,AVSS_DSI,GND,G_GROUND
T21,VSS,VSS,GND,G_GROUND
N13,SD1_D7/CAN1_TX/I2C1_SCL/UART3_RX/PA0,PA00,,E_GPIO_SPARE
R13,SD1_D2/MPI4_D2/PA1,PA01,,E_GPIO_SPARE
L12,SD1_CLKIN/CAN2_RX/UART3_RX/PA2,PA02,,E_GPIO_SPARE
M12,SD1_D5/CAN1_RX/I2C1_SDA/UART3_TX/PA3,PA03,,E_GPIO_SPARE
R12,SD1_D1/MPI4_D1/PA4,PA04,,E_GPIO_SPARE
T12,SD1_D0/MPI4_D0/PA5,PA05,,E_GPIO_SPARE
R11,SD1_D3/MPI4_D3/PA6,PA06,,E_GPIO_SPARE
T11,SD1_D4/SCI_CLK/UART2_TX/PA7,PA07,,E_GPIO_SPARE
N12,SD1_D6/SCI_DIO/UART2_RX/PA8,PA08,,E_GPIO_SPARE
L11,SD1_CLK/MPI4_CLK/PA9,PA09,,E_GPIO_SPARE
M11,SD1_CMD/MPI4_CS/PA10,PA10,,E_GPIO_SPARE
L10,SCI_RST/CAN2_TX/I2C1_SDA/UART3_TX/PA11,PA11,,E_GPIO_SPARE
M10,PA12/GPTIM1_CH1,PA12,,E_GPIO_SPARE
N10,PA13/GPTIM1_CH2,PA13,,E_GPIO_SPARE
N9,PA14/I2S1_LRCK,PA14,,E_GPIO_SPARE
R10,PA15/GPTIM1_CH3,PA15,,E_GPIO_SPARE
T9,PA16/I2C1_SDA/UART2_TX,PA16,,E_GPIO_SPARE
R9,PA17/I2C1_SCL/UART2_RX,PA17,,E_GPIO_SPARE
P9,PA18/PDM1_D/I2S1_DI/UART2_RTS/I2C2_SCL,PA18,,E_GPIO_SPARE
M9,PA19/SC1_RST/GPTIM1_CH4,PA19,,E_GPIO_SPARE
L9,PA20/UART3_RX/SPI1_DI/UART2_CTS,PA20,,E_GPIO_SPARE
L8,PA21/UART3_TX/SPI1_DO/UART2_RTS,PA21,,E_GPIO_SPARE
N8,PA22/PDM2_D/GPTIM1_ETR,PA22,,E_GPIO_SPARE
T8,PA23/PDM1_C/I2S1_BCK/UART2_CTS/I2C2_SDA,PA23,,E_GPIO_SPARE
R8,PA24/LCDC1_SPI_RSTB,PA24,,E_GPIO_SPARE
M8,PA25/PDM2_C/SD1_CLKIN/GPTIM2_CH1,PA25,,E_GPIO_SPARE
M7,PA26/SCI_CLK/GPTIM2_CH2,PA26,,E_GPIO_SPARE
L7,PA27/SCI_DIO/GPTIM2_CH3,PA27,,E_GPIO_SPARE
N5,PA31/UART1_TX/I2C3_SCL,PA31,,E_GPIO_SPARE
N4,PA32/UART1_RX/I2C3_SDA,PA32,,E_GPIO_SPARE
N3,PA33/SD1_D7/UART2_CTS,PA33,,E_GPIO_SPARE
L6,PA34/SD1_CMD/UART2_RTS,PA34,,E_GPIO_SPARE
M4,PA35/SD1_D6/UART3_CTS,PA35,,E_GPIO_SPARE
L2,PA41/SD1_D0/UART3_RTS,PA41,,E_GPIO_SPARE
K6,PA42/GPTIM2_CH4,PA42,,E_GPIO_SPARE
K3,PA44/MPI3_CS/LCDC1_SPI_CS,PA44,,E_GPIO_SPARE
K2,PA45/MPI3_D3/LCDC1_SPI_D3,PA45,,E_GPIO_SPARE
K1,PA46/MPI3_CLK/LCDC1_SPI_CLK,PA46,,E_GPIO_SPARE
J5,PA47/MPI3_D2/LCDC1_SPI_D2,PA47,,E_GPIO_SPARE
J4,PA48/MPI3_D1/LCDC1_SPI_D1,PA48,,E_GPIO_SPARE
J2,PA49/GPTIM1_CH1,PA49,,E_GPIO_SPARE
J1,PA50/MPI3_D0/LCDC1_SPI_D0,PA50,,E_GPIO_SPARE
G5,PA53,PA53,,E_GPIO_SPARE
G4,PA54/SPI1_DO/SPI1_DIO/UART2_RTS,PA54,,E_GPIO_SPARE
H2,PA55/GPTIM1_CH4,PA55,,E_GPIO_SPARE
G2,PA56/SPI1_CLK/UART2_CTS,PA56,,E_GPIO_SPARE
F4,PA57/SPI1_DI/UART2_RXD,PA57,,E_GPIO_SPARE
E5,PA58/LPTIM1_ETR/GPTIM2_CH1,PA58,,E_GPIO_SPARE
E4,PA59/I2C4_SDA/UART1_TX/UART3_RTS,PA59,,E_GPIO_SPARE
E3,PA60/I2C4_SCL/UART1_RX/UART3_CTS,PA60,,E_GPIO_SPARE
F1,PA61/SPI1_CS/UART2_TX,PA61,,E_GPIO_SPARE
F2,PA62/I2C2_SCL/UART1_RTS,PA62,,E_GPIO_SPARE
E2,PA63/I2C2_SDA/UART1_CTS,PA63,,E_GPIO_SPARE
D5,PA64/WKUP_6,PA64,,E_GPIO_SPARE
D6,PA65/WKUP_7/GPTIM2_CH2,PA65,,E_GPIO_SPARE
C7,PA66/WKUP_8,PA66,,E_GPIO_SPARE
D7,PA67/WKUP_9/GPTIM2_CH3,PA67,,E_GPIO_SPARE
E7,PA68/WKUP_10,PA68,,E_GPIO_SPARE
E8,PA69/WKUP_11,PA69,,E_GPIO_SPARE
F9,PA70/SD2_CMD/SPI2_CS,PA70,,E_GPIO_SPARE
A8,PA71/BT_ACTIVE,PA71,,F_GPIO_SPARE
B8,PA72/BT_PRIORITY,PA72,,F_GPIO_SPARE
B9,PA73/BT_COLLISION/UART1_RTS/GPTIM2_CH4,PA73,,F_GPIO_SPARE
D9,PA75/SD2_D1/SPI2_DI,PA75,,F_GPIO_SPARE
E9,PA76/SD2_D0/SPI2_DO,PA76,,F_GPIO_SPARE
F10,PA77/SD2_CLK/SPI2_CLK,PA77,,F_GPIO_SPARE
E10,PA78/SPI2_DI/SD2_CLKIN/GPTIM2_ETR,PA78,,F_GPIO_SPARE
D10,PA79/SD2_D2,PA79,,F_GPIO_SPARE
B10,PA80/LCDC1_SPI_TE,PA80,,F_GPIO_SPARE
C10,PA81/SD2_D3,PA81,,F_GPIO_SPARE
E11,PA83/SPI2_CLK,PA83,,F_GPIO_SPARE
B11,PA85,PA85,,F_GPIO_SPARE
A11,PA87/SPI2_CS,PA87,,F_GPIO_SPARE
C11,PA89/SPI2_DO/SPI2_DIO,PA89,,F_GPIO_SPARE
M13,I2C7_SDA/UART6_RX/GPTIM3_CH1/PB0,PB00,,F_GPIO_SPARE
L13,I2C7_SCL/UART6_TX/GPTIM3_CH2/PB1,PB01,,F_GPIO_SPARE
M14,LCDC2_SPI_TE/GPTIM3_CH3/PB2,PB02,,F_GPIO_SPARE
R14,LCDC2_SPI_D1/GPTIM3_CH4/UART4_RTS/PB3,PB03,,F_GPIO_SPARE
T14,LCDC2_SPI_D2/GPTIM4_CH1/UART4_CTS/PB4,PB04,,F_GPIO_SPARE
R15,LCDC2_SPI_RST/GPTIM4_CH2/UART6_RTS/PB5,PB05,,F_GPIO_SPARE
T15,LCDC2_SPI_D3/GPTIM4_CH3/UART6_CTS/PB6,PB06,,F_GPIO_SPARE
M15,LCDC2_SPI_CS/GPTIM5_CH1/BT_ACTIVE/PB8,PB08,,F_GPIO_SPARE
P15,LCDC2_SPI_D0/UART6_TX/GPTIM5_CH2/PB9,PB09,,F_GPIO_SPARE
