ref,pin,pin_name,net,sheet,type
U1,B2,PVDD_PMU1,+1V8,1,Power
U1,B3,PVDD_PMU2,+1V8,1,Power
U1,C1,PMU_BUCK1_VSW,CORE_BUCK1_SW,1,Bidirectional
U1,D1,PMU_BUCK1_VOUT,CORE_BUCK1_FB,1,Power
U1,A2,PMU_BUCK2_VSW,CORE_BUCK2_SW,1,Bidirectional
U1,B1,PMU_BUCK2_VOUT,CORE_BUCK2_FB,1,Power
U1,D2,HPSYS_LDO_VOUT,CORE_LDO_HP,1,Power
U1,C4,LPMU_VDD07_RET,CORE_LDO_RET,1,Power
U1,C5,LPMU_VDD11_RTC,CORE_LDO_RTC,1,Power
U1,B4,VDD_EXT1,,1,Power
U1,B5,VDD_EXT2,,1,Power
L101,1,,CORE_BUCK1_SW,1,Passive
L101,2,,CORE_BUCK1_FB,1,Passive
C101,1,,CORE_BUCK1_FB,1,Passive
C101,2,,GND,1,Passive
C102,1,,CORE_BUCK1_FB,1,Passive
C102,2,,GND,1,Passive
L102,1,,CORE_BUCK2_SW,1,Passive
L102,2,,CORE_BUCK2_FB,1,Passive
C103,1,,CORE_BUCK2_FB,1,Passive
C103,2,,GND,1,Passive
C104,1,,CORE_BUCK2_FB,1,Passive
C104,2,,GND,1,Passive
C105,1,,CORE_LDO_HP,1,Passive
C105,2,,GND,1,Passive
C106,1,,CORE_LDO_RET,1,Passive
C106,2,,GND,1,Passive
C107,1,,CORE_LDO_RTC,1,Passive
C107,2,,GND,1,Passive
C108,1,,+1V8,1,Passive
C108,2,,GND,1,Passive
C109,1,,+1V8,1,Passive
C109,2,,GND,1,Passive
C110,1,,+1V8,1,Passive
C110,2,,GND,1,Passive
C111,1,,+1V8,1,Passive
C111,2,,GND,1,Passive
U1,E20,AVDD_BRF,+1V8,2,Power
U1,K18,AVDD33_ANA,+3V3,2,Power
U1,J18,AVDD33_AUD,+3V3,2,Power
U1,P5,AVDD33_USB,+3V3,2,Power
U1,P3,AVDD18_DSI,+1V8,2,Power
U1,H6,VDDIOA,VIOA,2,Power
U1,P12,VDDIOA2,+1V8,2,Power
U1,E17,VDDIOB,+1V8,2,Power
U1,M2,VDDIOSA,VDD_SIP,2,Power
U1,G1,VDDIOSB,VDD_SIP,2,Power
U1,L14,VDDIOSC,+1V8,2,Power
U1,F20,MIC_BIAS,CORE_MIC_BIAS,2,Power
U1,F21,AUD_VREF,CORE_AUD_VREF,2,Power
U1,L21,GPADC_VREFP,CORE_ADC_VREF,2,Power
U1,K19,SDMADC_VREF,CORE_SDM_VREF,2,Power
C120,1,,+1V8,2,Passive
C120,2,,GND,2,Passive
C121,1,,+3V3,2,Passive
C121,2,,GND,2,Passive
C122,1,,+3V3,2,Passive
C122,2,,GND,2,Passive
C123,1,,+3V3,2,Passive
C123,2,,GND,2,Passive
C124,1,,+1V8,2,Passive
C124,2,,GND,2,Passive
C125,1,,VIOA,2,Passive
C125,2,,GND,2,Passive
C126,1,,+1V8,2,Passive
C126,2,,GND,2,Passive
C127,1,,+1V8,2,Passive
C127,2,,GND,2,Passive
C128,1,,VDD_SIP,2,Passive
C128,2,,GND,2,Passive
C129,1,,VDD_SIP,2,Passive
C129,2,,GND,2,Passive
C130,1,,+1V8,2,Passive
C130,2,,GND,2,Passive
C131,1,,CORE_MIC_BIAS,2,Passive
C131,2,,GND,2,Passive
C132,1,,CORE_AUD_VREF,2,Passive
C132,2,,GND,2,Passive
C133,1,,CORE_ADC_VREF,2,Passive
C133,2,,GND,2,Passive
C134,1,,CORE_SDM_VREF,2,Passive
C134,2,,GND,2,Passive
R103,1,,+3V3,2,Passive
R103,2,,VIOA,2,Passive
U1,B7,XTAL32K_XI,CORE_X32_IN,3,Bidirectional
U1,A6,XTAL32K_XO,CORE_X32_OUT,3,Bidirectional
U1,A17,XTAL48M_XI,CORE_X48_IN,3,Bidirectional
U1,A18,XTAL48M_XO,CORE_X48_OUT,3,Bidirectional
U1,D4,RSTN,RESET_N,3,Bidirectional
U1,E6,BOOT_MODE,BOOT_MODE,3,Bidirectional
U1,G16,PB36,UART4_RX_1V8,3,Bidirectional
U1,F16,PB37,UART4_TX_1V8,3,Bidirectional
U1,L15,PB07,SWCLK_1V8,3,Bidirectional
U1,M16,PB11,SWDIO_1V8,3,Bidirectional
U1,C14,PB54,HOME_N,3,Bidirectional
Y101,1,X1,CORE_X48_IN,3,Passive
Y101,2,GND,GND,3,Ground
Y101,3,X3,CORE_X48_OUT,3,Passive
Y101,4,GND,GND,3,Ground
Y102,1,,CORE_X32_IN,3,Passive
Y102,2,,CORE_X32_OUT,3,Passive
C140,1,,CORE_X48_IN,3,Passive
C140,2,,GND,3,Passive
C141,1,,CORE_X48_OUT,3,Passive
