厂家型号,规格,封装,装配,采购状态,数量,位号
SF32LB586VDD36,SF32LB586VDD36,BGA_256_P040_8500X6500_H094_B025,FIT,型号已选，库存未核实,1,U1
WPN201610U4R7MT,4.7uH DCR<=0.4R Isat>=0.5A,IND_C_2016_H100,FIT,型号已选，库存未核实,2,L101 L102
,4.7uF/10V,SC0603-S,FIT,待锁定厂家料号及降额,9,C101 C103 C105 C122 C124 C133 C134 C203 C301
,100nF/10V,SC0402,FIT,待锁定厂家料号及降额,16,C102 C104 C107 C109 C111 C144 C152 C304 C402 C501 C502 C505 C603 C607 C608 C701
,470nF/10V,SC0402,FIT,待锁定厂家料号及降额,1,C106
,10uF/10V,SC0603-S,FIT,待锁定厂家料号及降额,13,C108 C110 C202 C302 C303 C305 C306 C307 C308 C309 C401 C602 C606
,1uF/10V,SC0603-S,FIT,待锁定厂家料号及降额,18,C120 C121 C123 C125 C126 C127 C128 C129 C130 C131 C132 C150 C151 C503 C504 C601 C604 C605
,0R VIOA=3V3,SR0402,FIT,待锁定厂家料号及降额,1,R103
E1SB48E001G00E,48MHz CL8.8pF E1SB48E001G00E,XTAL_CC_200X160_H050,FIT,型号已选，库存未核实,1,Y101
Y 32.768kHz CL7pF ETST00327000LE,32.768kHz CL7pF ETST00327000LE,XTAL_2SM_320X150_H080,FIT,型号已选，库存未核实,1,Y102
,DNP load trim,SC0402,DNP,待锁定厂家料号及降额,4,C140 C141 C142 C143
,10k 1%,SR0402,FIT,待锁定厂家料号及降额,3,R101 R102 R118
TC-1109DE-C-C,RESET / TC1109,SWITCH-PUSH-TC-1109DE-C-C,FIT,型号已选，库存未核实,1,SW101
TC-1109DE-C-C,BOOT / HOLD TO DOWNLOAD / TC1109,SWITCH-PUSH-TC-1109DE-C-C,FIT,型号已选，库存未核实,1,SW102
PY25Q128HA-WXH-IR,PY25Q128HA-WXH-IR,PUYA_WSON8_6x5_P1.27_EP4x3.4,FIT,型号已选，库存未核实,1,U104
CJ3139K,CJ3139K,SOT723-1.2X1.2X0.5MM,FIT,型号已选，库存未核实,2,Q101 Q103
CJ3134K,CJ3134K,SOT723-1.2X1.2X0.5MM,FIT,型号已选，库存未核实,2,Q102 Q104
,1M,SR0402,FIT,待锁定厂家料号及降额,4,R110 R111 R113 R114
,0R DNP BYPASS,SR0402,DNP,待锁定厂家料号及降额,2,R112 R115
,10k,SR0402,FIT,待锁定厂家料号及降额,2,R116 R117
1012-16FGG0201R3,1012-16FGG0201R3,CON_USB_TYPEC_16P_1012-16FHG02R3,FIT,型号已选，库存未核实,1,J201
,5.1k 1%,SR0402,FIT,待锁定厂家料号及降额,2,R201 R202
1206L050/15YR,1206L050/15YR 0.5A 15V,PTC_1206_Littelfuse,FIT,型号已选，库存未核实,1,F201
BQ24074RGTR,BQ24074RGTR,TI_RGT0016C,FIT,型号已选，库存未核实,1,U201
,6.98k 1%,SR0402,FIT,待锁定厂家料号及降额,1,R203
,3.09k 1%,SR0402,FIT,待锁定厂家料号及降额,1,R204
,47k 1%,SR0402,FIT,待锁定厂家料号及降额,7,R205 R206 R403 R404 R405 R406 R407
,4.7uF/16V,SC0603-S,FIT,待锁定厂家料号及降额,1,C201
TPS62840DLCR,TPS62840DLCR,TI_DLC0008B,FIT,型号已选，库存未核实,1,U301
XFL3012-222MEC,2.2uH XFL3012-222MEC,Coilcraft_XFL3012,FIT,型号已选，库存未核实,2,L301 L303
TPS63031DSKR,TPS63031DSKR,TI_DSK0010A,FIT,型号已选，库存未核实,1,U302
XFL3012-152MEC,1.5uH XFL3012-152MEC,Coilcraft_XFL3012,FIT,型号已选，库存未核实,1,L302
TPS610997DRVR,TPS610997DRVR,TI_DRV0006A,FIT,型号已选，库存未核实,1,U303
,100k 1%,SR0402,FIT,待锁定厂家料号及降额,3,R301 R503 R702
LCD_ADAPTER_2x20,LCD_ADAPTER_2x20,HDR-TH_40P-P2.54-V-M-R2-C20-S2.54,FIT,型号已选，库存未核实,1,J401
,4.7k DNP,SR0402,DNP,待锁定厂家料号及降额,2,R401 R402
TC-1109DE-C-C,SIDE / TC1109,SWITCH-PUSH-TC-1109DE-C-C,FIT,型号已选，库存未核实,1,SW401
TC-1109DE-C-C,HOME / WAKE / TC1109,SWITCH-PUSH-TC-1109DE-C-C,FIT,型号已选，库存未核实,1,SW402
LSM6DSOTR,LSM6DSOTR,ST_LSM6DSO_LGA14_3x2.5_P0.5,FIT,型号已选，库存未核实,1,U501
,4.7k 1%,SR0402,FIT,待锁定厂家料号及降额,4,R501 R502 R601 R602
DRV2605LDGSR,DRV2605LDGSR,TI_DGS0010A,FIT,型号已选，库存未核实,1,U502
,1M 1%,SR0402,FIT,待锁定厂家料号及降额,1,R504
,220k 1%,SR0402,FIT,待锁定厂家料号及降额,1,R505
MAXM86146CFU+,MAXM86146CFU+,MAXIM_90-100112,FIT,型号已选，库存未核实,1,U601
,10R 1%,SR0402,FIT,待锁定厂家料号及降额,1,R603
CM1610H32768DZB,32.768kHz CL6pF CM1610H32768DZB,XTALDFN160X100X50-2M,FIT,型号已选，库存未核实,1,Y601
MAX14689EWL+T,MAX14689EWL+T,MAXIM_21-0459_W91B1-7,FIT,型号已选，库存未核实,1,U701
SFH7015,SFH7015,LED_SFH7015,FIT,型号已选，库存未核实,1,D701
,0R,SR0402,FIT,待锁定厂家料号及降额,1,R701
CT DBLP31.12-6C5D-56-J6U6,CT DBLP31.12-6C5D-56-J6U6,OSRM_CT-DBLP31_12-1,FIT,型号已选，库存未核实,2,D702 D703
,22uF/10V,C_0805_2012,FIT,待锁定厂家料号及降额,2,C702 C703
,200R 1%,SR0402,FIT,待锁定厂家料号及降额,1,R119
